codigo_producto,descripcion,negocio,seccion,linea,categoria,abastecimiento,comuna,region,tienda,zonal,mes,año,semestre,fecha,motivo,ubicación_motivo,merma_unidad,merma_monto,merma_unidad_p,merma_monto_p
56536,BILZ DESECHABLE 500 CC,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-24,CLIENTES,SALA DE VENTAS,-10,-461,10,461
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-04,CLIENTES,SALA DE VENTAS,-20,-661,20,661
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-08,CLIENTES,SALA DE VENTAS,-10,-314,10,314
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-12,CLIENTES,SALA DE VENTAS,-10,-311,10,311
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-19,CLIENTES,SALA DE VENTAS,-30,-921,30,921
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-05,VENCIMIENTO,BODEGA,-10,-304,10,304
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-13,CLIENTES,SALA DE VENTAS,-20,-602,20,602
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-25,VENCIMIENTO,BODEGA,-10,-301,10,301
677022,POSTRE CREMA SOPROLE CARAMELO 120 GRS.,PERECIBLES,LACTEOS,REFRIGERADOS,POSTRES FRESCOS,DIRECTO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-18,VENCIMIENTO,BODEGA,-40,-1226,40,1226
400068001,"LECHE SHAKE SHAKE 170 ML LONC, CHOCOLATE",PERECIBLES,LACTEOS,LECHES,LECHES SABORES,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-10,CLIENTES,SALA DE VENTAS,-10,-234,10,234
400068001,"LECHE SHAKE SHAKE 170 ML LONC, CHOCOLATE",PERECIBLES,LACTEOS,LECHES,LECHES SABORES,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-02,CLIENTES,SALA DE VENTAS,-10,-234,10,234
400068001,"LECHE SHAKE SHAKE 170 ML LONC, CHOCOLATE",PERECIBLES,LACTEOS,LECHES,LECHES SABORES,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-17,CLIENTES,SALA DE VENTAS,-10,-246,10,246
400068001,"LECHE SHAKE SHAKE 170 ML LONC, CHOCOLATE",PERECIBLES,LACTEOS,LECHES,LECHES SABORES,DIRECTO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-05,CLIENTES,SALA DE VENTAS,-10,-261,10,261
